Class,Group,Genus
Anthozoa,Anthozoa_Faviidae,Tarbellastraea
Anthozoa,Anthozoa_Faviidae,Teleiophyllia
Anthozoa,Anthozoa_Faviidae,Thysanus
Anthozoa,Anthozoa_other,Acanthastrea
Anthozoa,Anthozoa_other,Acanthophyllia
Anthozoa,Anthozoa_other,Actinacis
Anthozoa,Anthozoa_other,Actinastrea
Anthozoa,Anthozoa_other,Alveopora
Anthozoa,Anthozoa_other,Anthemiphyllia
Anthozoa,Anthozoa_other,Antillia
Anthozoa,Anthozoa_other,Aquitanophyllia
Anthozoa,Anthozoa_other,Astrocoenia
Anthozoa,Anthozoa_other,Axoseris
Anthozoa,Anthozoa_other,Barysmilia
Anthozoa,Anthozoa_other,Blastomussa
Anthozoa,Anthozoa_other,Catalaphyllia
Anthozoa,Anthozoa_other,Circophyllia
Anthozoa,Anthozoa_other,Columnocoenia
Anthozoa,Anthozoa_other,Confusastraraea
Anthozoa,Anthozoa_other,Coscinaraea
Anthozoa,Anthozoa_other,Ctenactis
Anthozoa,Anthozoa_other,Ctenella
Anthozoa,Anthozoa_other,Cyclomussa
Anthozoa,Anthozoa_other,Cynarina
Anthozoa,Anthozoa_other,Dichocoenia
Anthozoa,Anthozoa_other,Dictyaraea
Anthozoa,Anthozoa_other,Dimorphastrea
Anthozoa,Anthozoa_other,Echinomorpha
Anthozoa,Anthozoa_other,Echinophyllia
Anthozoa,Anthozoa_other,Elephantaria
Anthozoa,Anthozoa_other,Ellipsocoenia
Anthozoa,Anthozoa_other,Euphyllia
Anthozoa,Anthozoa_other,Eusmilia
Anthozoa,Anthozoa_other,Ewaldocoenia
Anthozoa,Anthozoa_other,Fungia
Anthozoa,Anthozoa_other,Fungophyllia
Anthozoa,Anthozoa_other,Goniaraea
Anthozoa,Anthozoa_other,Goniopora
Anthozoa,Anthozoa_other,Gyrosmilia
Anthozoa,Anthozoa_other,Halomitra
Anthozoa,Anthozoa_other,Heliastrea
Anthozoa,Anthozoa_other,Heliofungia
Anthozoa,Anthozoa_other,Herpolitha
Anthozoa,Anthozoa_other,Heterocoenia
Anthozoa,Anthozoa_other,Isastrea
